buyer_name,contact,domicile
Anom Kusumo,+62-0632-340-5763,3173
"Rahmi Astuti, S.IP",0879541045,3573
"dr. Balapati Samosir, S.Pd",+62-73-234-1487,3174
"Ir. Rahayu Lestari, S.Gz",(029) 201-3332,3173
Cut Keisha Napitupulu,+62 (0656) 404-4471,3471
Widya Mardhiyah,+62-046-615-8678,1371
Hafshah Namaga,083 281 7644,6471
Dr. Catur Usada,+62-0390-609-0577,3573
Elvina Wastuti,+62 (84) 803 1726,3171
"Zelda Saputra, S.Ked",(0120) 487 0704,3171
Surya Utama,+62 (56) 698 4550,3273
"H. Luwar Riyanti, M.Ak",+62-023-867-3010,7371
"Puti Utama, M.Kom.",+62 (03) 548-0790,3174
"Galih Nainggolan, M.M.",+62 (840) 136 9945,6471
"Gina Halim, S.I.Kom",+62 (31) 718 7201,3172
"R. Amelia Latupono, S.I.Kom",+62-69-733-0874,3175
"drg. Jane Prayoga, S.Pt",+62 (011) 946 6740,3573
Usyi Permata,+62 (776) 964-1927,6471
"drg. Himawan Adriansyah, M.M.",0813071412,1375
"R. Narji Zulkarnain, S.I.Kom",(0550) 465-5441,5171
Diana Wahyuni,(069) 273 3343,3174
Cindy Mustofa,(068) 295-2818,3174
Keisha Hardiansyah,+62-22-572-5478,3174
Vera Mangunsong,+62 (583) 971 6279,3471
Puti Ciaobella Situmorang,+62 (904) 681 3262,5171
Mulya Oktaviani,+62 (0435) 086-7853,3172
Laksana Rajata,+62 (0113) 218 5757,3471
Hartana Zulaika,+62 (0530) 068 5926,3573
dr. Carla Mahendra,+62 (047) 256-5787,3578
Rosman Agustina,(002) 854-4593,3471
"KH. Jagaraga Hartati, S.Psi",+62 (0213) 822 5520,7371
Hj. Chelsea Utama,+62-0889-213-4979,3174
R. Aurora Nugroho,+62 (0715) 965-1384,3578
Hamima Budiyanto,0804647844,6471
"Dr. Darmana Marpaung, M.Pd",+62-248-535-9780,6471
Puji Uyainah,+62 (83) 860-8128,3273
Mulyanto Suryono,+62-024-777-6892,3573
Jumadi Pudjiastuti,+62 (0888) 544 2327,3471
drg. Faizah Suryatmi,(010) 875-9862,1371
Safina Wijayanti,+62 (890) 875-4378,3175
Dr. Ira Hutagalung,0864784460,1371
"Puti Ade Pranowo, S.H.",+62 (088) 444-5664,1375
drg. Devi Kusmawati,+62 (01) 343-6995,3573
Ir. Wardi Kusmawati,+62 (0353) 228-4008,1371
Darman Winarsih,(021) 942 3282,3171
Dr. Novi Napitupulu,+62 (001) 767 5163,3173
Winda Permata,+62 (072) 282-5850,3172
"Saadat Dabukke, M.M.",+62 (703) 889 3949,5171
Najam Simanjuntak,+62-000-335-5732,6472
R.M. Praba Riyanti,081 199 2602,3174
